Type,FTP Location
state,ftp://ftp.census.gov/geo/tiger/TIGER2013/STATE/tl*
congress_districts,ftp://ftp.census.gov/geo/tiger/TIGER2013/CD/tl*
county,ftp://ftp.census.gov/geo/tiger/TIGER2013/COUNTY/tl*
zip_code_tabulation_areas,ftp://ftp.census.gov/geo/tiger/TIGER2013/ZTCA5/tl*
blocks,ftp://ftp.census.gov/geo/tiger/TIGER2013/TABBLOCK/tl_*_41*
block_groups,ftp://ftp.census.gov/geo/tiger/TIGER2013/BG/tl_*_41*
tracts,ftp://ftp.census.gov/geo/tiger/TIGER2013/TRACT/tl_*_41*
county_subdivisions,ftp://ftp.census.gov/geo/tiger/TIGER2013/COUSUB/tl_*_41*
elementary_school_districts,ftp://ftp.census.gov/geo/tiger/TIGER2013/ELSD/tl_*_41_*
secondary_school_districts,ftp://ftp.census.gov/geo/tiger/TIGER2013/SCSD/tl_*_41_*
unified_school_districts,ftp://ftp.census.gov/geo/tiger/TIGER2013/UNSD/tl_*_41_*
state_legislature_lower_districts,ftp://ftp.census.gov/geo/tiger/TIGER2013/SLDL/tl_*_41_*
state_legislature_upper_districts,ftp://ftp.census.gov/geo/tiger/TIGER2013/SLDU/tl_*_41_*
