rating,number,Percent,Cumulative
0,872485,65.98%,65.98%
1,1284,0.10%,66.07%
2,72651,5.49%,71.57%
3,1103,0.08%,71.65%
4,24343,1.84%,73.49%
5,22547,1.70%,75.20%
6,21962,1.66%,76.86%
7,27438,2.07%,78.93%
8,53030,4.01%,82.94%
9,21434,1.62%,84.56%
10,24550,1.86%,86.42%
11,15927,1.20%,87.62%
12,7694,0.58%,88.20%
13,6193,0.47%,88.67%
14,5981,0.45%,89.13%
15,10259,0.78%,89.90%
16,2153,0.16%,90.06%
17,6205,0.47%,90.53%
18,1900,0.14%,90.68%
19,3013,0.23%,90.90%
20,6327,0.48%,91.38%
21,2208,0.17%,91.55%
22,1441,0.11%,91.66%
23,2092,0.16%,91.82%
24,1284,0.10%,91.91%
25,2688,0.20%,92.12%
26,1137,0.09%,92.20%
27,1107,0.08%,92.29%
28,790,0.06%,92.35%
29,903,0.07%,92.41%
30,1232,0.09%,92.51%
31,924,0.07%,92.58%
32,613,0.05%,92.62%
33,1198,0.09%,92.71%
34,528,0.04%,92.75%
35,423,0.03%,92.79%
36,223,0.02%,92.80%
37,374,0.03%,92.83%
38,542,0.04%,92.87%
39,378,0.03%,92.90%
40,2110,0.16%,93.06%
41,656,0.05%,93.11%
42,624,0.05%,93.16%
43,1056,0.08%,93.24%
44,470,0.04%,93.27%
45,8575,0.65%,93.92%
46,443,0.03%,93.96%
47,495,0.04%,93.99%
48,361,0.03%,94.02%
49,451,0.03%,94.05%
50,11085,0.84%,94.89%
51,413,0.03%,94.92%
52,744,0.06%,94.98%
53,465,0.04%,95.01%
54,727,0.05%,95.07%
55,897,0.07%,95.14%
56,573,0.04%,95.18%
57,531,0.04%,95.22%
58,1212,0.09%,95.31%
59,439,0.03%,95.35%
60,5190,0.39%,95.74%
61,435,0.03%,95.77%
62,813,0.06%,95.83%
63,509,0.04%,95.87%
64,819,0.06%,95.93%
65,1303,0.10%,96.03%
66,579,0.04%,96.08%
67,710,0.05%,96.13%
68,746,0.06%,96.19%
69,626,0.05%,96.23%
70,1339,0.10%,96.33%
71,587,0.04%,96.38%
72,552,0.04%,96.42%
73,680,0.05%,96.47%
74,420,0.03%,96.50%
75,1517,0.11%,96.62%
76,536,0.04%,96.66%
77,618,0.05%,96.71%
78,384,0.03%,96.73%
79,505,0.04%,96.77%
80,682,0.05%,96.82%
81,384,0.03%,96.85%
82,328,0.02%,96.88%
83,321,0.02%,96.90%
84,360,0.03%,96.93%
85,405,0.03%,96.96%
86,303,0.02%,96.98%
87,263,0.02%,97.00%
88,206,0.02%,97.02%
89,237,0.02%,97.04%
90,193,0.01%,97.05%
91,134,0.01%,97.06%
92,224,0.02%,97.08%
93,116,0.01%,97.09%
94,150,0.01%,97.10%
95,338,0.03%,97.12%
96,223,0.02%,97.14%
97,211,0.02%,97.16%
98,146,0.01%,97.17%
99,277,0.02%,97.19%
100,32811,2.48%,99.67%
101,162,0.01%,99.68%
102,1129,0.09%,99.77%
103,13,0.00%,99.77%
104,48,0.00%,99.77%
105,41,0.00%,99.78%
106,217,0.02%,99.79%
107,32,0.00%,99.79%
108,41,0.00%,99.80%
109,67,0.01%,99.80%
110,1,0.00%,99.80%
111,7,0.00%,99.80%
112,1,0.00%,99.80%
113,5,0.00%,99.80%
115,7,0.00%,99.80%
9999,2595,0.20%,100.00%
Total,1322437,100.00%,
